City_ID,City,Long,Lat,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,sayat,63.8803,38.7839,-4.64,77,96,0.06,TM,2023-01-21 14:12:58
325,jiaohe,127.3447,43.7286,-15.46,70,100,0.69,CN,2023-01-21 14:12:59
326,zhigansk,123.3711,66.7697,-42.91,97,73,2.51,RU,2023-01-21 14:12:59
327,petropavlovsk-kamchatskiy,158.6483,53.0452,-12.67,52,0,5.0,RU,2023-01-21 14:13:00
328,kon tum,108.0,14.35,25.97,56,45,3.38,VN,2023-01-21 14:13:01
329,tiznit,-9.5,29.5833,10.78,60,0,0.37,MA,2023-01-21 14:13:01
330,longview,-94.7405,32.5007,10.14,61,20,1.54,US,2023-01-21 14:08:56
331,tangier,-5.8137,35.7806,12.64,100,40,1.03,MA,2023-01-21 14:13:03
332,poronaysk,143.1167,49.2167,-18.49,63,1,3.42,RU,2023-01-21 14:13:03
333,kodiak,-152.4072,57.79,0.73,80,100,6.69,US,2023-01-21 14:13:04
334,sidi ali,0.4206,36.0998,9.01,87,19,2.49,DZ,2023-01-21 14:13:05
335,imbituba,-48.6703,-28.24,21.72,92,9,3.64,BR,2023-01-21 14:13:05
336,ust-kulom,53.6902,61.6864,-3.79,88,100,3.98,RU,2023-01-21 14:13:06
337,ilulissat,-51.1,69.2167,-20.99,71,100,3.6,GL,2023-01-21 14:13:07
338,kagadi,30.7967,0.9606,18.89,51,88,0.95,UG,2023-01-21 14:13:08
339,lodwar,35.5973,3.1191,25.74,39,90,3.99,KE,2023-01-21 14:13:09
340,yaan,8.5667,7.3833,24.34,24,55,1.84,NG,2023-01-21 14:13:09
341,kharan,65.4167,28.5833,4.75,53,0,3.92,PK,2023-01-21 14:13:10
342,chuy,-53.4616,-33.6971,22.24,86,99,6.0,UY,2023-01-21 14:13:11
343,pitimbu,-34.8086,-7.4706,25.33,77,39,3.77,BR,2023-01-21 14:13:12
344,katsuura,140.3,35.1333,7.3,37,10,4.76,JP,2023-01-21 14:12:43
345,cockburn town,-71.1419,21.4612,24.85,82,35,6.39,TC,2023-01-21 14:13:13
346,opuwo,13.84,-18.0607,19.29,69,100,1.07,NA,2023-01-21 14:13:13
347,maneadero,-116.5667,31.7167,11.17,74,0,1.34,MX,2023-01-21 14:13:01
348,tayshet,98.0044,55.9342,-41.0,98,64,0.97,RU,2023-01-21 14:13:15
349,grand baie,57.5802,-20.0182,24.69,90,100,1.34,MU,2023-01-21 14:13:15
350,porto belo,-48.5531,-27.1578,23.97,85,24,1.24,BR,2023-01-21 14:13:16
351,luderitz,15.1594,-26.6481,17.96,84,4,6.93,NA,2023-01-21 14:13:17
352,durango,-104.8333,24.8333,10.09,33,32,2.92,MX,2023-01-21 14:10:06
353,oda,132.5,35.1833,4.91,61,99,0.94,JP,2023-01-21 14:11:55
354,fortuna,-124.1573,40.5982,6.48,92,0,0.0,US,2023-01-21 14:13:19
355,raisinghnagar,73.4492,29.5358,11.21,59,66,3.12,IN,2023-01-21 14:13:20
356,quatis,-44.2581,-22.4072,19.33,98,100,1.15,BR,2023-01-21 14:13:20
357,saint-augustin,-58.6502,51.226,-9.58,85,100,3.15,CA,2023-01-21 14:13:21
358,avera,-82.5271,33.194,11.03,56,98,4.18,US,2023-01-21 14:13:22
359,paris,2.3488,48.8534,4.32,82,100,7.6,FR,2023-01-21 14:06:47
360,waipawa,175.5153,-41.4122,16.49,65,36,3.91,NZ,2023-01-21 14:09:06
361,jizan,42.6667,17.3333,24.18,78,0,2.18,SA,2023-01-21 14:13:23
362,malabang,124.0703,7.5903,28.14,71,83,1.34,PH,2023-01-21 14:13:24
363,nichinan,131.3667,31.6,9.87,56,46,0.88,JP,2023-01-21 14:13:25
364,yeppoon,150.7333,-23.1333,28.88,65,38,6.84,AU,2023-01-21 14:13:25
365,ifakara,36.6833,-8.1333,21.25,98,100,0.46,TZ,2023-01-21 14:13:26
366,norrtalje,18.705,59.758,-0.87,76,84,1.6,SE,2023-01-21 14:13:27
367,yulara,130.9889,-25.2406,31.47,17,5,3.88,AU,2023-01-21 14:13:28
368,bilibino,166.4372,68.0546,-37.34,100,100,1.2,RU,2023-01-21 14:13:28
369,rio gallegos,-69.2181,-51.6226,13.2,70,98,4.59,AR,2023-01-21 14:11:38
370,kirakira,161.9205,-10.4544,29.42,68,93,2.85,SB,2023-01-21 14:13:30
371,nome,-165.4064,64.5011,-21.96,84,75,2.57,US,2023-01-21 14:13:31
372,tomino,-8.755,41.9877,13.52,97,92,2.06,ES,2023-01-21 14:13:31
373,chifeng,118.9636,42.2683,-5.96,39,19,5.23,CN,2023-01-21 14:13:32
374,teguldet,88.1667,57.3064,-39.98,94,6,2.03,RU,2023-01-21 14:13:33
375,noumea,166.4572,-22.2763,27.78,99,100,5.13,NC,2023-01-21 14:06:26
376,husavik,-17.3389,66.0449,7.59,85,100,13.45,IS,2023-01-21 14:13:34
377,chapais,-74.8492,49.7834,-15.99,98,100,0.52,CA,2023-01-21 14:13:35
378,tommerup,10.2066,55.3195,1.69,93,38,2.83,DK,2023-01-21 14:13:36
379,fukue,128.8419,32.6881,7.22,54,99,3.4,JP,2023-01-21 14:13:37
380,flin flon,-101.865,54.7682,-11.63,97,72,2.01,CA,2023-01-21 14:13:38
381,nouadhibou,-17.0347,20.931,17.23,85,0,7.23,MR,2023-01-21 14:13:39
382,salinopolis,-47.3561,-0.6136,25.54,84,88,4.03,BR,2023-01-21 14:13:41
383,matinhos,-48.5428,-25.8175,23.09,87,29,0.46,BR,2023-01-21 14:13:41
384,aksarka,67.7975,66.5606,-10.37,97,100,2.11,RU,2023-01-21 14:13:42
385,elverum,11.5623,60.8819,-20.24,100,37,1.32,NO,2023-01-21 14:13:43
386,san patricio,-97.5169,28.017,16.92,77,100,6.78,US,2023-01-21 14:13:43
387,adra,-3.0206,36.7496,13.81,62,4,1.75,ES,2023-01-21 14:13:44
388,imeni poliny osipenko,136.4853,52.4201,-23.6,90,100,1.45,RU,2023-01-21 14:13:45
389,sangmelima,11.9833,2.9333,17.87,98,58,1.02,CM,2023-01-21 14:13:46
390,ananas,-71.9557,19.2466,18.63,94,6,1.75,HT,2023-01-21 14:13:46
391,broken hill,141.4333,-31.95,28.61,17,41,2.64,AU,2023-01-21 14:13:47
392,arrecife,-13.5477,28.963,16.99,67,40,7.2,ES,2023-01-21 14:13:48
393,burnie,145.9167,-41.0667,19.97,53,88,4.09,AU,2023-01-21 14:13:12
394,kangaba,-8.4167,11.9333,22.45,18,0,1.33,ML,2023-01-21 14:13:49
395,moerai,-151.3333,-22.4333,25.45,75,100,4.08,PF,2023-01-21 14:13:50
396,pangkalanbuun,111.6167,-2.6833,30.72,59,100,1.44,ID,2023-01-21 14:13:51
397,marawi,124.2928,7.9986,25.99,62,89,2.45,PH,2023-01-21 14:13:51
398,xichang,102.2634,27.8964,9.7,44,0,1.52,CN,2023-01-21 14:13:52
399,erzin,36.2,36.9559,10.07,60,0,2.92,TR,2023-01-21 14:13:53
400,malanje,16.341,-9.5402,16.41,99,100,1.65,AO,2023-01-21 14:13:53
401,shaunavon,-108.4181,49.6501,-3.6,69,100,5.75,CA,2023-01-21 14:13:54
402,mubende,31.39,0.5606,16.87,69,80,0.44,UG,2023-01-21 14:13:55
403,kushiro,144.3747,42.975,-4.84,63,19,6.59,JP,2023-01-21 14:13:55
404,sobolevo,31.8996,54.4299,1.01,92,100,3.58,RU,2023-01-21 14:13:56
405,shenkursk,42.896,62.1091,0.53,99,100,2.63,RU,2023-01-21 14:13:57
406,mabaruma,-59.7833,8.2,21.11,99,100,1.02,GY,2023-01-21 14:13:57
407,bowen,148.2333,-20.0167,28.13,63,10,6.38,AU,2023-01-21 14:13:59
408,natal,-35.2094,-5.795,25.36,88,20,2.57,BR,2023-01-21 14:09:12
409,yining,114.5636,29.0361,8.75,54,88,0.35,CN,2023-01-21 14:14:00
410,kongolo,27.0,-5.3833,20.14,98,100,0.87,CD,2023-01-21 14:14:00
411,dunmanway,-9.1167,51.7167,8.51,97,98,1.22,IE,2023-01-21 14:14:01
412,uryupinsk,42.0138,50.8047,-6.26,82,100,6.31,RU,2023-01-21 14:14:02
413,tripoli,13.1875,32.8752,11.7,57,37,5.9,LY,2023-01-21 14:14:03
414,naze,129.4833,28.3667,13.91,65,85,4.03,JP,2023-01-21 14:14:03
